ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
672,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen1_food2_19C,gen1_food2_23C,13,17,,,,,,,,,2,9,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
673,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen1_food3_19C,gen1_food3_23C,13,6,,,,,,,,,6,4,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
674,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen2_food1_19C,gen2_food1_23C,15,10,,,,,,,,,13,7,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
675,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen2_food2_19C,gen2_food2_23C,16,17,,,,,,,,,14,14,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
676,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen2_food3_19C,gen2_food3_23C,12,1,,,,,,,,,10,0,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
677,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen1_food1_19C,gen1_food2_19C,18,13,,,,,,,,,7,2,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
678,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen1_food1_19C,gen1_food3_19C,18,13,,,,,,,,,7,6,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
679,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen2_food1_19C,gen2_food2_19C,15,16,,,,,,,,,13,14,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
680,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen2_food1_19C,gen2_food3_19C,15,12,,,,,,,,,13,10,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
681,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen1_food1_23C,gen1_food2_23C,17,17,,,,,,,,,12,9,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
682,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen1_food1_23C,gen1_food3_23C,17,6,,,,,,,,,12,4,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
683,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen2_food1_23C,gen2_food2_23C,10,17,,,,,,,,,7,14,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
684,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Prevalence,Prevalence,Epidemiological,yes,ANOVA,gen2_food1_23C,gen2_food3_23C,10,1,,,,,,,,,7,0,OR,,,,,,,,,,,,,,,,,Table S1,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
685,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen1_food1_19C,gen1_food1_23C,7,12,68828.125,5020.085,,,68915.42,5490.67,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
686,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen1_food2_19C,gen1_food2_23C,2,9,14389.713,12862.369,,,32516.775,4234.87,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
687,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen1_food3_19C,gen1_food3_23C,6,4,42618.434,5647.089,,,35175.83,11765.217,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
688,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen2_food1_19C,gen2_food1_23C,13,7,73999.46,4706.36,,,47889.188,9569.578,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
689,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Temperature,Environment,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen2_food2_19C,gen2_food2_23C,14,14,43247.457,5177.398,,,40192.547,4235.316,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
690,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen1_food1_19C,gen1_food2_19C,7,2,68828.125,5020.085,,,14389.713,12862.369,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
691,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen1_food1_19C,gen1_food3_19C,7,6,68828.125,5020.085,,,42618.434,5647.089,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
692,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen2_food1_19C,gen2_food2_19C,13,14,68915.42,5490.67,,,32516.775,4234.87,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
693,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen2_food1_19C,gen2_food3_19C,13,10,68915.42,5490.67,,,35175.83,11765.217,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
694,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen1_food1_23C,gen1_food2_23C,12,9,73999.46,4706.36,,,43247.457,5177.398,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
695,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen1_food1_23C,gen1_food3_23C,12,4,73999.46,4706.36,,,36808.867,6274.547,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
696,Manzi et al. 2019. Freshwater Biology,81,AVS,Daphnia sp. (hybrid),Arthropod,Metschnikowia bicuspidata,Fungus,Experimental,Food ,Resource,Spore yield per host,Intensity,Epidemiological,yes,ANOVA,gen2_food1_23C,gen2_food2_23C,7,14,47889.188,9569.578,,,40192.547,4235.316,,,,,SE,,,,,,,,,,,,,,,,,Fig1c,"They use two genotypes of a Daphnia hybrid as a host. For the Fecundity and lifespan, they don't find significant differences between both genotypes, and they are poooled together. Food 1 = Scene used as control, since it is the high quality resource."
697,Noskov et al. 2019. PeerJ,82,AVS,Aedes aegypti,Arthropod,Metarhizium robertsii,Fungus,Experimental,Insecticide,Toxin,Mortality,Survivorship,Uninfected demographic,yes,Chi-square,Control,Avermectin,10,10,0.00899885,0.010706796,,,0.57860774,0.0428198,,,,,SE,,,,,,,,,,,,,,,,,Fig1,10 replicates of 15 larvae
698,Noskov et al. 2019. PeerJ,82,AVS,Aedes aegypti,Arthropod,Metarhizium robertsii,Fungus,Experimental,Insecticide,Toxin,Mortality,Survivorship,Infected demographic,yes,Chi-square,Fungus,Fungus_Avermectin,10,10,0.54648733,0.06424077,,,0.99189734,0.01926496,,,,,SE,,,,,,,,,,,,,,,,,Fig1,10 replicates of 15 larvae
699,Noskov et al. 2019. PeerJ,82,AVS,Aedes aegypti,Arthropod,Metarhizium robertsii,Fungus,Experimental,Insecticide,Toxin,Load (CFU),Intensity,Epidemiological,yes,T-test,Fungus,Fungus_Avermectin,3,3,104627.54,6433.405,,,50112.867,5079.008,,,,,SE,,,,,,,,,,,,,,,,,Fig8a,
700,Naggar & Baer 2019. SciRep ,83,"KN,MY",Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Flupyradifurone,Toxin,Infection Intesity ,Intensity,Epidemiological,yes,GLM,Control,Sivanto,3,3,16025.64133,3360.30375,,,34090.90967,15644.98147,,,,,SE,,,,,,161.23,4,,,,,,,,,,"Figure 3a, table 1","Calculated the mean of means, combining all bee colonies"
701,Naggar & Baer 2019. SciRep ,83,"KN,MY",Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Flupyradifurone,Toxin,Infection Intesity ,Intensity,Epidemiological,yes,GLM,Control,FLU,3,3,16025.64133,3360.30375,,,85664.33767,56992.74108,,,,,SE,,,,,,161.23,4,,,,,,,,,,"Figure 3a, table 1","Calculated the mean of means, combining all bee colonies"
702,Naggar & Baer 2019. SciRep ,83,"KN,MY",Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Flupyradifurone,Toxin,Percent Survival ,Survivorship,Infected demographic,yes,Kaplan–Meier log-rank paired tests.,Control,Sivanto,150,150,,,,,,,,,144,147,OR,,,,,,,,,,,,,,,,,Figure 2a,"Excluded Exp.2 (adults) because the N was not properly recorded, and it was impossible to determine"
703,Naggar & Baer 2019. SciRep ,83,"KN,MY",Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Flupyradifurone,Toxin,Percent Survival ,Survivorship,Infected demographic,yes,Kaplan–Meier log-rank paired tests.,Control,FLU,150,150,,,,,,,,,144,148,OR,,,,,,,,,,,,,,,,,Figure 2a,
704,Naggar & Baer 2019. SciRep ,83,"KN,MY",Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Flupyradifurone,Toxin,Percent Survival ,Survivorship,Uninfected demographic,yes,Kaplan–Meier log-rank paired tests.,Control,Sivanto,150,150,,,,,,,,,145,144,OR,,,,,,,,,,,,,,,,,Figure 2a,"the uninfected control (black line) seemed to be behind the pink line, so it was recorded as the same value"
705,Naggar & Baer 2019. SciRep ,83,"KN,MY",Apis mellifera,Arthropod,Nosema ceranae,Fungus,Experimental,Flupyradifurone,Toxin,Percent Survival,Survivorship,Uninfected demographic,yes,Kaplan–Meier log-rank paired tests.,Control,FLU,150,150,,,,,,,,,145,148,OR,,,,,,,,,,,,,,,,,Figure 2a,"the uninfected control (black line) seemed to be behind the pink line, so it was recorded as the same value"
706,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Uninfected demographic,yes,Comparison ,5C_adults,10C_adults,48,48,22.4,1.35,,,21.31,4.08,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
707,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Uninfected demographic,yes,Comparison ,5C_adults,15C_adults,48,48,22.4,1.35,,,15.16,9.06,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
708,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Uninfected demographic,yes,Comparison ,5C_adults,20C_adults,48,48,22.4,1.35,,,3.91,3.58,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
709,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Infected demographic,yes,Comparison ,5C_adults,10C_adults,24,24,21.94,2.49,,,18.44,5.75,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
710,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Infected demographic,yes,Comparison ,5C_adults,15C_adults,24,24,21.94,2.49,,,11.5,9.15,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
711,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Infected demographic,yes,Comparison ,5C_adults,20C_adults,24,24,21.94,2.49,,,1.5,1.35,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
712,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Uninfected demographic,yes,Comparison ,5C_larvae,10C_larvae,48,48,16.8,7.15,,,14.08,4.21,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
713,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Uninfected demographic,yes,Comparison ,5C_larvae,15C_larvae,48,48,16.8,7.15,,,7.29,3.47,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
714,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Uninfected demographic,yes,Comparison ,5C_larvae,20C_larvae,48,48,16.8,7.15,,,3.15,1.47,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
715,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Infected demographic,yes,Comparison ,5C_larvae,10C_larvae,24,24,15.2,6.85,,,13.56,4.29,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
716,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Infected demographic,yes,Comparison ,5C_larvae,15C_larvae,24,24,15.2,6.85,,,5.66,3.55,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
717,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Time to death (days),Survivorship,Infected demographic,yes,Comparison ,5C_larvae,20C_larvae,24,24,15.2,6.85,,,2.07,1.24,,,,,SD,,,,,,,,,,,,,,,,,Table S2,Sample size in legend of Fig 3 and methods. A fecundity effect could not be entered because it is reported separately for hosts with and withou hyphae
718,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Prevalence of hyphal growth,Prevalence,Epidemiological,yes,Contingency table,5C_adults,10C_adults,3,11,,,,,,,,,0,1,OR,,,,,,,,,,,,,,,,,Table S2,Sample size obtained by estimating number of dead individuals from survival probability
719,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Prevalence of hyphal growth,Prevalence,Epidemiological,yes,Contingency table,5C_adults,15C_adults,3,18,,,,,,,,,0,9,OR,,,,,,,,,,,,,,,,,Table S2,Sample size obtained by estimating number of dead individuals from survival probability
720,Ozersky et al. 2020. Limnology and Oceanography,84,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Prevalence of hyphal growth,Prevalence,Epidemiological,yes,Contingency table,5C_adults,20C_adults,3,24,,,,,,,,,0,24,OR,,,,,,,,,,,,,,,,,Table S2,Sample size obtained by estimating number of dead individuals from survival probability
721,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Prevalence of hyphal growth,Prevalence,Epidemiological,yes,Contingency table,5C_larvae,10C_larvae,16,24,,,,,,,,,3,4,OR,,,,,,,,,,,,,,,,,Table S2,Sample size obtained by estimating number of dead individuals from survival probability
722,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Prevalence of hyphal growth,Prevalence,Epidemiological,yes,Contingency table,5C_larvae,15C_larvae,16,24,,,,,,,,,3,19,OR,,,,,,,,,,,,,,,,,Table S2,Sample size obtained by estimating number of dead individuals from survival probability
723,Ozersky et al. 2020. Limnology and Oceanography,85,BW,Epischurella baikalensis,Arthropod,Saprolegnia,Fungus,Experimental,Temperature,Environment,Prevalence of hyphal growth,Prevalence,Epidemiological,yes,Contingency table,5C_larvae,20C_larvae,16,24,,,,,,,,,3,12,OR,,,,,,,,,,,,,,,,,Table S2,Sample size obtained by estimating number of dead individuals from survival probability
724,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,log10 RanaViruscopies,Intensity,Epidemiological,yes,Comparison ,200_uScm-1_low_exposure,1500_uScm-1_low_exposure,19,20,2.59,1.71,,,2.19,1.28,,,,,SD,,,,,,,,,,,,,,,,,Raw data file,"Mean, SD and N obtained from raw data on Dryad"
725,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,log10 RanaViruscopies,Intensity,Epidemiological,yes,Comparison ,200_uScm-1_low_exposure,3000_uScm-1_low_exposure,19,20,2.59,1.71,,,2.54,1.78,,,,,SD,,,,,,,,,,,,,,,,,Raw data file,"Mean, SD and N obtained from raw data on Dryad"
726,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,log10 RanaViruscopies,Intensity,Epidemiological,yes,Comparison ,200_uScm-1_medium_exposure,1500_uScm-1_medium_exposure,19,20,2.84,2.41,,,3.25,2,,,,,SD,,,,,,,,,,,,,,,,,Raw data file,"Mean, SD and N obtained from raw data on Dryad"
727,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,log10 RanaViruscopies,Intensity,Epidemiological,yes,Comparison ,200_uScm-1_medium_exposure,3000_uScm-1_medium_exposure,19,19,2.84,2.41,,,5.07,2.82,,,,,SD,,,,,,,,,,,,,,,,,Raw data file,"Mean, SD and N obtained from raw data on Dryad"
728,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,log10 RanaViruscopies,Intensity,Epidemiological,yes,Comparison ,200_uScm-1_high_exposure,1500_uScm-1_high_exposure,19,19,6.12,2.62,,,6.08,2.67,,,,,SD,,,,,,,,,,,,,,,,,Raw data file,"Mean, SD and N obtained from raw data on Dryad"
729,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,log10 RanaViruscopies,Intensity,Epidemiological,yes,Comparison ,200_uScm-1_high_exposure,3000_uScm-1_high_exposure,19,19,6.12,2.62,,,6.84,2.4,,,,,SD,,,,,,,,,,,,,,,,,Raw data file,"Mean, SD and N obtained from raw data on Dryad"
730,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,200_uScm-1,1500_uScm-1,16,16,,,,,,,,,0,2,OR,,,,,,,,,,,,,,,,,Raw data file,Success and N obtained from raw data on Dryad
731,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,200_uScm-1,3000_uScm-1,16,15,,,,,,,,,0,3,OR,,,,,,,,,,,,,,,,,Raw data file,Success and N obtained from raw data on Dryad
732,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,200_uScm-1_low_exposure,1500_uScm-1_low_exposure,20,20,,,,,,,,,2,3,OR,,,,,,,,,,,,,,,,,Raw data file,Success and N obtained from raw data on Dryad
